period,timeframe,strategy,ma_params,ma_short,ma_long,final_value,total_return_pct,max_drawdown_pct,sharpe_ratio,num_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,total_fees
Q2_2023_Sideways,4h,mtf_trend,,,,9601.08,-3.989,-8.596,-1.831,11,27.27,7.639,-2.763,0.453,42.06
Q2_2023_Sideways,4h,supertrend,,,,10242.94,2.429,-4.245,1.181,7,42.86,10.414,-2.876,1.789,26.06
Q2_2023_Sideways,4h,trend_following,MA9/21,9.0,21.0,10463.72,4.637,-4.192,1.484,12,50.0,8.061,-2.13,2.034,53.23
Q2_2023_Sideways,4h,trend_following,MA10/30,10.0,30.0,10704.26,7.043,-3.044,2.366,15,53.33,5.949,-1.255,4.308,51.25
Q2_2023_Sideways,4h,trend_following,MA20/50,20.0,50.0,10334.54,3.345,-3.228,1.248,15,53.33,2.538,-1.476,2.546,45.51
Q2_2023_Sideways,4h,trend_following,MA20/100,20.0,100.0,9906.09,-0.939,-5.498,-0.308,17,47.06,1.842,-1.91,0.849,54.2
Q2_2023_Sideways,4h,trend_following,MA21/55,21.0,55.0,10231.58,2.316,-4.624,0.881,16,56.25,2.35,-2.0,1.712,50.54
Q2_2023_Sideways,1d,auto,MA9/21,9.0,21.0,9758.75,-2.413,-2.388,-3.139,3,0.0,0.0,-2.281,0.0,14.71
Q2_2023_Sideways,1d,auto,MA10/30,10.0,30.0,9826.66,-1.733,-3.194,-1.487,1,0.0,0.0,-5.054,0.0,4.87
Q2_2023_Sideways,1d,auto,MA20/50,20.0,50.0,9899.48,-1.005,-3.782,-0.688,3,33.33,1.615,-2.504,0.208,9.89
Q2_2023_Sideways,1d,auto,MA21/55,21.0,55.0,9820.37,-1.796,-3.19,-1.932,1,0.0,0.0,-5.243,0.0,4.87
Q2_2023_Sideways,1d,mean_reversion,,,,10000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Q2_2023_Sideways,1d,mtf_trend,,,,9712.89,-2.871,-2.905,-4.003,1,0.0,0.0,-8.47,0.0,4.79
Q2_2023_Sideways,1d,supertrend,,,,10000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Q2_2023_Sideways,1d,trend_following,MA9/21,9.0,21.0,9921.32,-0.787,-1.608,-0.985,2,50.0,0.63,-5.054,0.108,4.94
